Season,Farms,Avg_Yield_t_ha,Median_Yield_t_ha,Avg_Profit_INR,Median_Profit_INR,Total_Profit_INR,Avg_Revenue_INR,Avg_Cost_INR,Avg_Water_m3,Avg_Water_Efficiency,Avg_Risk_pct,Portfolio_Margin_pct,Profitable_Farm_pct
Kharif,1779,5.628611579539067,1.94,178914.64755480608,38808.0,318289158,710719.0556492412,531804.4080944351,6102.201236649803,5.891833614390107,54.46790331646992,25.173751306184933,57.78527262507026
Rabi,1627,5.039434542102028,1.67,87689.47019053473,-3187.0,142670768,601526.0485556239,513836.57836508914,5846.98709280885,5.186122311001844,40.48211432083589,14.57783422697878,48.86293792255685
Zaid,594,4.641313131313131,1.46,-24804.824915824916,-62144.0,-14734066,519171.904040404,543976.7289562289,6419.893939393939,4.413239057239057,38.21666666666667,-4.777767194793057,35.52188552188552
